#       r/R             l_rad/L
      0.99667710   7.2921557e-06
      0.99665778   7.1396784e-06
      0.99663839   6.9908085e-06
      0.99661893   6.8456125e-06
      0.99659940   6.7039389e-06
      0.99657981   6.5656404e-06
      0.99656014   6.4305730e-06
      0.99654041   6.2985953e-06
      0.99652060   6.1695675e-06
      0.99650073   6.0433511e-06
      0.99648079   5.9199185e-06
      0.99646078   5.7993541e-06
      0.99644070   5.6815630e-06
      0.99642055   5.5664469e-06
      0.99640033   5.4539076e-06
      0.99638004   5.3438471e-06
      0.99635968   5.2361666e-06
      0.99633925   5.1307654e-06
      0.99631874   5.0275407e-06
      0.99629816   4.9263862e-06
      0.99627751   4.8271904e-06
      0.99625679   4.7298352e-06
      0.99623600   4.6342321e-06
      0.99621513   4.5403916e-06
      0.99619419   4.4483328e-06
      0.99617318   4.3581102e-06
      0.99615209   4.2697203e-06
      0.99613093   4.1831392e-06
      0.99610970   4.0983462e-06
      0.99608839   4.0154756e-06
      0.99606701   3.9345381e-06
      0.99604556   3.8554945e-06
      0.99602403   3.7783018e-06
      0.99600243   3.7029137e-06
      0.99598076   3.6292821e-06
      0.99595900   3.5573572e-06
      0.99593717   3.4870883e-06
      0.99591527   3.4184240e-06
      0.99589329   3.3513124e-06
      0.99587123   3.2857018e-06
      0.99584909   3.2215401e-06
      0.99582688   3.1588575e-06
      0.99580459   3.0976889e-06
      0.99578222   3.0379753e-06
      0.99575978   2.9796580e-06
      0.99573726   2.9226786e-06
      0.99571466   2.8669790e-06
      0.99569198   2.8125251e-06
      0.99566923   2.7593852e-06
      0.99564639   2.7075328e-06
      0.99562348   2.6569252e-06
      0.99560049   2.6075203e-06
      0.99557742   2.5592768e-06
      0.99555427   2.5121537e-06
      0.99553104   2.4661107e-06
      0.99550773   2.4211083e-06
      0.99548434   2.3771074e-06
      0.99546087   2.3340697e-06
      0.99543731   2.2920196e-06
      0.99541368   2.2509872e-06
      0.99538996   2.2109342e-06
      0.99536616   2.1718227e-06
      0.99534228   2.1336152e-06
      0.99531831   2.0962744e-06
      0.99529427   2.0597634e-06
      0.99527014   2.0240461e-06
      0.99524592   1.9890888e-06
      0.99522163   1.9549250e-06
      0.99519725   1.9215569e-06
      0.99517279   1.8889564e-06
      0.99514824   1.8570963e-06
      0.99512361   1.8259501e-06
      0.99509890   1.7954934e-06
      0.99507409   1.7657150e-06
      0.99504921   1.7366353e-06
      0.99502423   1.7081511e-06
      0.99499917   1.6803180e-06
      0.99497402   1.6531756e-06
      0.99494879   1.6266761e-06
      0.99492347   1.6007865e-06
      0.99489806   1.5754787e-06
      0.99487256   1.5507267e-06
      0.99484698   1.5265054e-06
      0.99482130   1.5027906e-06
      0.99479554   1.4795588e-06
      0.99476968   1.4567866e-06
      0.99474374   1.4344540e-06
      0.99471771   1.4125840e-06
      0.99469159   1.3912055e-06
      0.99466537   1.3703280e-06
      0.99463907   1.3499363e-06
      0.99461268   1.3300150e-06
      0.99458619   1.3105486e-06
      0.99455961   1.2915214e-06
      0.99453294   1.2729176e-06
      0.99450618   1.2547216e-06
      0.99447932   1.2369177e-06
      0.99445237   1.2194903e-06
      0.99442532   1.2024241e-06
      0.99439818   1.1857037e-06
      0.99437095   1.1693140e-06
      0.99434361   1.1532494e-06
      0.99431619   1.1375169e-06
      0.99428866   1.1221075e-06
      0.99426104   1.1070109e-06
      0.99423332   1.0922172e-06
      0.99420551   1.0777163e-06
      0.99417760   1.0635071e-06
      0.99414959   1.0496074e-06
      0.99412148   1.0360096e-06
      0.99409327   1.0227042e-06
      0.99406497   1.0096812e-06
      0.99403656   9.9693015e-07
      0.99400806   9.8444167e-07
      0.99397945   9.7221496e-07
      0.99395074   9.6024447e-07
      0.99392194   9.4852248e-07
      0.99389303   9.3704050e-07
      0.99386401   9.2578868e-07
      0.99383490   9.1475452e-07
      0.99380568   9.0391992e-07
      0.99377636   8.9328844e-07
      0.99374693   8.8287590e-07
      0.99371740   8.7268791e-07
      0.99368777   8.6272733e-07
      0.99365803   8.5299125e-07
      0.99362818   8.4346265e-07
      0.99359823   8.3412967e-07
      0.99356817   8.2498585e-07
      0.99353800   8.1604272e-07
      0.99350773   8.0730197e-07
      0.99347735   7.9875953e-07
      0.99344686   7.9041128e-07
      0.99341627   7.8225304e-07
      0.99338557   7.7428041e-07
      0.99335475   7.6648883e-07
      0.99332383   7.5887118e-07
      0.99329279   7.5142277e-07
      0.99326165   7.4414180e-07
      0.99323039   7.3702645e-07
      0.99319902   7.3007494e-07
      0.99316754   7.2328552e-07
      0.99313594   7.1665645e-07
      0.99310423   7.1018604e-07
      0.99307241   7.0387258e-07
      0.99304047   6.9771439e-07
      0.99300842   6.9170601e-07
      0.99297625   6.8583891e-07
      0.99294396   6.8011142e-07
      0.99291156   6.7452196e-07
      0.99287904   6.6906891e-07
      0.99284640   6.6375889e-07
      0.99281365   6.5859942e-07
      0.99278078   6.5359040e-07
      0.99274779   6.4873197e-07
      0.99271468   6.4402438e-07
      0.99268145   6.3946186e-07
      0.99264810   6.3504103e-07
      0.99261463   6.3076206e-07
      0.99258104   6.2662540e-07
      0.99254733   6.2263130e-07
      0.99251349   6.1878848e-07
      0.99247954   6.1510624e-07
      0.99244546   6.1159272e-07
      0.99241126   6.0825575e-07
      0.99237694   6.0506772e-07
      0.99234249   6.0200621e-07
      0.99230793   5.9907925e-07
      0.99227324   5.9629141e-07
      0.99223842   5.9364565e-07
      0.99220349   5.9114391e-07
      0.99216843   5.8878745e-07
      0.99213325   5.8657694e-07
      0.99209794   5.8451245e-07
      0.99206251   5.8259656e-07
      0.99202696   5.8084119e-07
      0.99199129   5.7924766e-07
      0.99195549   5.7781607e-07
      0.99191957   5.7654637e-07
      0.99188353   5.7543840e-07
      0.99184736   5.7449206e-07
      0.99181107   5.7370737e-07
      0.99177465   5.7308875e-07
      0.99173811   5.7264023e-07
      0.99170145   5.7236230e-07
      0.99166466   5.7225544e-07
      0.99162774   5.7232030e-07
      0.99159070   5.7255775e-07
      0.99155353   5.7296914e-07
      0.99151624   5.7355667e-07
      0.99147882   5.7432997e-07
      0.99144127   5.7530063e-07
      0.99140359   5.7648433e-07
      0.99136578   5.7788621e-07
      0.99132784   5.7943071e-07
      0.99128978   5.8114195e-07
      0.99125158   5.8305626e-07
      0.99121325   5.8519331e-07
      0.99117479   5.8750791e-07
      0.99113620   5.9000912e-07
      0.99109748   5.9270604e-07
      0.99105863   5.9560251e-07
      0.99101964   5.9870134e-07
      0.99098052   6.0200495e-07
      0.99094127   6.0551574e-07
      0.99090188   6.0923616e-07
      0.99086236   6.1316833e-07
      0.99082270   6.1731416e-07
      0.99078290   6.2167541e-07
      0.99074297   6.2625368e-07
      0.99070291   6.3105034e-07
      0.99066271   6.3606666e-07
      0.99062237   6.4130524e-07
      0.99058189   6.4676904e-07
      0.99054128   6.5246065e-07
      0.99050053   6.5838217e-07
      0.99045964   6.6453516e-07
      0.99041862   6.7092050e-07
      0.99037745   6.7753901e-07
      0.99033615   6.8439172e-07
      0.99029470   6.9147766e-07
      0.99025312   6.9879257e-07
      0.99021140   7.0633881e-07
      0.99016953   7.1416002e-07
      0.99012753   7.2219013e-07
      0.99008538   7.3046491e-07
      0.99004309   7.3899883e-07
      0.99000066   7.4779310e-07
      0.98995808   7.5684821e-07
      0.98991536   7.6616490e-07
      0.98987250   7.7574411e-07
      0.98982949   7.8559086e-07
      0.98978634   7.9571036e-07
      0.98974303   8.0610726e-07
      0.98969958   8.1678613e-07
